Activity	HOR RANGE	VER RANGE	HOR MEAN	VER MEAN	HOR STD DEV	VER STD DEV	
CLASSIFIED/TRAVELLING	1.7703125	2.7804651	0.42920175	9.855706	0.2450368	0.5149052	
CLASSIFIED/TRAVELLING	0.9630954	0.3428707	0.40892115	9.798071	0.24533905	0.06570558	
CLASSIFIED/TRAVELLING	0.9812294	1.2550478	0.54822546	9.75478	0.20973967	0.20795895	
CLASSIFIED/TRAVELLING	1.0458513	0.7181206	0.18941554	9.784003	0.17185847	0.12011843	
CLASSIFIED/TRAVELLING	0.2629152	0.3283863	0.10499106	9.763124	0.057111718	0.063406095	
CLASSIFIED/TRAVELLING	0.14554647	0.25273323	0.058223475	9.787313	0.027127601	0.051200893	
CLASSIFIED/TRAVELLING	0.12256861	0.23971748	0.05571444	9.780788	0.02188917	0.05279368	
CLASSIFIED/TRAVELLING	0.1610963	0.23375702	0.052055366	9.785206	0.029841302	0.049113546	
CLASSIFIED/TRAVELLING	0.2018756	0.27824306	0.054468255	9.853829	0.030954061	0.046605926	
CLASSIFIED/TRAVELLING	1.2040197	0.72641754	0.6380644	9.823742	0.27878344	0.109602824	
CLASSIFIED/TRAVELLING	1.3750305	2.8177967	0.67746866	9.811769	0.35350645	0.37990776	
CLASSIFIED/TRAVELLING	1.7089698	2.7838736	0.6808306	9.822804	0.3434029	0.42555678	
CLASSIFIED/TRAVELLING	1.1076435	1.0462399	0.6488193	9.808255	0.2051933	0.1629064	
CLASSIFIED/TRAVELLING	0.92787707	0.65591335	0.18670622	9.786065	0.1337482	0.09486552	
CLASSIFIED/TRAVELLING	0.13238187	0.21749496	0.048085235	9.806356	0.026245058	0.049659666	
CLASSIFIED/TRAVELLING	0.6697771	0.28187084	0.1540006	9.662296	0.14157529	0.054216813	
CLASSIFIED/TRAVELLING	1.6006649	1.7567644	0.49776778	9.642333	0.23777062	0.27104282	
CLASSIFIED/TRAVELLING	1.4057266	1.9006653	0.68456733	9.725399	0.3770552	0.40355065	
CLASSIFIED/TRAVELLING	1.3901088	0.77668095	0.51808757	9.720291	0.3491456	0.14586498	
CLASSIFIED/TRAVELLING	1.7830262	1.4890614	1.2186675	9.685993	0.48539376	0.27661446	
CLASSIFIED/TRAVELLING	2.234928	3.7668009	0.97591084	9.632572	0.51644367	0.611737	
CLASSIFIED/TRAVELLING	1.2046422	1.6419277	0.6834894	9.722962	0.3459239	0.23513733	
CLASSIFIED/TRAVELLING	0.96869904	0.4672203	0.1577447	9.613283	0.18788533	0.06631688	
CLASSIFIED/TRAVELLING	0.9060473	1.701479	0.51475793	9.650478	0.2125482	0.27746913	
CLASSIFIED/TRAVELLING	1.5251305	2.7082396	0.68118566	9.563941	0.36156994	0.5049867	
CLASSIFIED/TRAVELLING	1.0294223	2.750764	0.9351614	9.549553	0.22532845	0.398011	
