Timestamp,X-accel,Y-accel,Z-accel,X-mag,Y-mag,Z-mag,X-orien,Y-orien,Z-orien
 1297148194445,3.8681788,8.430995,0.6537767,14.3125,117.3125,76.625,132.0,-65.0,25.0
 1297148194495,4.3312707,9.112013,1.334794,14.3125,117.0625,76.375,129.0,-64.0,25.0
 1297148194574,4.099725,10.038197,2.2609777,12.5625,117.3125,76.125,130.0,-68.0,17.0
 1297148194594,5.2165933,12.367276,3.214402,13.5625,117.0625,75.625,128.0,-64.0,22.0
 1297148194644,7.014479,10.079058,6.2108784,13.8125,117.8125,75.125,87.0,-47.0,31.0
 1297148194695,3.2961242,8.539958,3.6774938,14.3125,117.8125,75.375,99.0,-60.0,20.0
 1297148194744,1.5390993,6.932757,3.568531,14.8125,117.0625,75.875,137.0,-61.0,11.0
 1297148194796,2.2609777,7.504812,4.6036777,15.875,116.8125,76.375,105.0,-56.0,14.0
 1297148194844,2.6014864,7.7363577,4.440233,16.625,116.8125,76.875,104.0,-58.0,19.0
 1297148194896,3.5957718,6.701211,2.4516625,17.375,116.5625,77.125,104.0,-57.0,27.0
 1297148194945,3.336985,6.782933,1.7297841,17.375,117.0625,77.6875,113.0,-61.0,25.0
 1297148194995,3.636633,7.1234417,1.9477097,17.625,117.0625,76.875,115.0,-60.0,26.0
 1297148195045,4.2904096,7.7363577,1.8387469,17.625,117.3125,76.625,115.0,-59.0,28.0
 1297148195136,4.6036777,9.234595,2.1111538,16.625,117.8125,76.625,116.0,-61.0,26.0
 1297148195145,4.6036777,9.234595,2.1111538,17.125,117.8125,76.375,116.0,-62.0,25.0
 1297148195195,5.938472,11.182305,2.7240696,17.375,117.5625,76.125,116.0,-60.0,27.0
 1297148195246,2.8330324,14.1787815,3.445948,17.125,118.3125,76.625,144.0,-73.0,11.0
 1297148195294,-0.6537767,8.499097,3.1463003,16.625,119.3125,76.875,195.0,-69.0,-4.0
 1297148195345,-1.4165162,6.510526,3.718355,16.125,121.125,76.375,245.0,-59.0,-11.0
 1297148195438,2.0294318,7.504812,2.5606253,14.8125,123.9375,75.875,176.0,-66.0,14.0
 1297148195445,3.1054392,7.6954966,1.920469,13.8125,124.1875,75.625,149.0,-65.0,21.0
 1297148195496,4.0588636,7.504812,0.6946377,13.0625,123.375,75.125,121.0,-61.0,28.0
 1297148195545,2.5606253,7.8180795,1.0351465,13.0625,124.4375,74.875,132.0,-71.0,18.0
 1297148195595,3.0237172,7.9679036,0.95342433,13.0625,124.9375,75.125,133.0,-68.0,21.0
 1297148195694,3.9090397,8.117727,0.7627395,12.3125,123.9375,75.125,123.0,-63.0,27.0
 1297148195695,3.9090397,8.117727,0.7627395,12.3125,123.9375,75.125,123.0,-63.0,27.0
 1297148195745,4.3312707,8.580819,1.1849703,11.8125,122.875,75.125,120.0,-62.0,27.0
 1297148195794,3.568531,10.460427,2.1111538,11.0625,121.875,75.375,125.0,-68.0,18.0
 1297148195845,5.8567495,11.454713,2.982856,11.0625,122.125,75.375,117.0,-60.0,26.0
 1297148195895,6.782933,9.466142,6.1700177,11.5625,122.375,74.875,79.0,-46.0,31.0
 1297148195967,3.9090397,9.343558,4.399372,12.3125,121.625,75.625,104.0,-62.0,14.0
 1297148195994,1.9885708,8.962189,4.2086873,13.0625,120.875,76.375,131.0,-63.0,9.0
 1297148196045,1.334794,7.5456724,3.1463003,13.8125,121.625,76.875,147.0,-66.0,9.0
 1297148196094,2.3699405,6.701211,3.336985,14.0625,122.125,76.875,122.0,-59.0,18.0
 1297148196145,3.3778462,5.8567495,3.405087,14.8125,121.875,77.4375,93.0,-51.0,26.0
 1297148196194,3.6774938,6.851035,2.070293,16.125,121.375,77.9375,99.0,-58.0,27.0
 1297148196272,3.636633,7.7772183,1.6480621,14.8125,121.375,77.4375,114.0,-61.0,25.0
 1297148196295,4.5628166,8.580819,2.2201166,14.3125,120.875,77.4375,113.0,-59.0,27.0
 1297148196344,4.5219555,9.466142,1.6480621,15.375,121.125,77.125,115.0,-63.0,25.0
 1297148196395,4.4810944,10.228881,2.3699405,14.5625,121.125,77.125,120.0,-64.0,23.0
 1297148196446,5.243834,10.882658,3.6774938,13.5625,122.125,78.1875,112.0,-60.0,25.0
 1297148196495,2.9556155,13.865514,3.6774938,14.3125,121.875,78.1875,137.0,-71.0,12.0
 1297148196563,-0.53119355,10.501288,3.1054392,14.0625,123.9375,78.1875,207.0,-70.0,-9.0
 1297148196594,-1.7978859,7.504812,3.759216,13.5625,125.6875,77.125,243.0,-61.0,-12.0
 1297148196645,0.8036005,6.0882955,2.982856,12.3125,127.5,75.875,205.0,-63.0,7.0
 1297148196695,5.325556,6.2108784,3.0645783,11.3125,128.0,76.125,91.0,-45.0,38.0
 1297148196745,5.09401,7.8180795,-1.9885708,9.3125,127.25,75.875,103.0,-125.0,32.0
 1297148196832,1.8387469,7.8861814,2.1792557,10.0625,127.25,75.375,135.0,-70.0,13.0
 1297148196844,2.0294318,7.9270425,1.7570249,11.0625,127.25,75.125,136.0,-71.0,14.0
 1297148196895,4.2904096,8.158588,0.61291564,10.0625,127.25,75.375,123.0,-62.0,28.0
 1297148196945,3.7864566,8.19945,1.3756552,9.8125,126.9375,75.625,116.0,-64.0,24.0
 1297148196995,3.636633,10.038197,2.4516625,9.5625,126.1875,75.375,120.0,-66.0,19.0
 1297148197044,4.7126403,12.340035,2.152015,8.5625,125.9375,74.875,131.0,-67.0,21.0
 1297148197107,7.8589406,11.413852,5.47538,8.3125,126.4375,75.125,98.0,-50.0,32.0
 1297148197144,4.630918,8.308413,5.5571017,8.8125,128.0,75.625,74.0,-49.0,25.0
 1297148197194,2.6014864,7.7363577,3.7864566,8.5625,128.25,76.125,86.0,-59.0,17.0
 1297148197245,2.152015,7.8861814,3.1054392,9.3125,128.25,76.625,116.0,-64.0,14.0
 1297148197294,2.3426998,7.7772183,3.486809,10.5625,128.5,76.875,116.0,-62.0,15.0
 1297148197344,3.214402,6.0882955,3.486809,12.0625,128.25,77.6875,88.0,-52.0,25.0
 1297148197398,3.405087,5.938472,3.214402,12.3125,128.5,77.9375,88.0,-55.0,27.0
 1297148197445,3.486809,7.43671,1.7978859,12.3125,128.25,78.1875,108.0,-62.0,24.0
 1297148197495,4.5628166,7.8861814,1.8387469,12.0625,127.75,77.9375,108.0,-58.0,29.0
 1297148197545,4.7126403,8.281172,1.4982382,12.8125,127.5,77.9375,108.0,-59.0,29.0
 1297148197595,4.4810944,9.656827,2.2201166,12.3125,126.9375,78.4375,111.0,-63.0,24.0
 1297148197645,5.325556,10.079058,2.8330324,12.8125,127.25,78.6875,110.0,-59.0,27.0
 1297148197695,5.7477865,10.269742,3.0237172,13.3125,126.4375,79.1875,110.0,-61.0,24.0
 1297148197745,0.08172209,10.651112,3.255263,13.0625,128.0,78.1875,175.0,-73.0,0.0
 1297148197795,-1.3756552,7.6273947,3.336985,12.8125,128.75,77.4375,224.0,-65.0,-9.0
 1297148197844,-1.334794,7.3549876,4.2904096,12.3125,131.5625,77.4375,268.0,-59.0,-9.0
 1297148197895,1.5390993,7.43671,3.336985,11.8125,133.0625,77.125,188.0,-64.0,11.0
 1297148197985,4.3312707,6.701211,0.61291564,9.8125,132.5625,76.625,111.0,-125.0,34.0
 1297148197995,4.7126403,6.8237944,-0.7218784,9.0625,132.3125,76.625,111.0,-122.0,32.0
 1297148198045,2.3018389,7.9270425,2.1111538,9.5625,132.8125,76.125,123.0,-68.0,16.0
 1297148198097,3.486809,8.580819,0.8036005,8.8125,133.3125,76.375,128.0,-67.0,22.0
 1297148198146,4.2495484,8.240311,1.0351465,8.0625,132.5625,76.875,119.0,-62.0,27.0
 1297148198196,4.3312707,8.580819,1.4982382,8.3125,132.0625,76.625,113.0,-62.0,26.0
 1297148198259,3.336985,10.038197,2.9147544,8.0625,132.0625,76.875,117.0,-66.0,18.0
 1297148198295,5.243834,12.53072,3.1054392,8.0625,131.8125,77.6875,124.0,-64.0,22.0
 1297148198344,7.3549876,11.223166,6.3198414,7.5625,132.3125,77.4375,91.0,-49.0,30.0
 1297148198395,3.759216,8.390134,4.1814466,7.3125,134.0625,77.4375,81.0,-56.0,22.0
 1297148198445,1.920469,8.008764,3.214402,7.8125,133.5625,77.6875,109.0,-65.0,13.0
 1297148198495,1.8387469,7.504812,3.445948,9.8125,132.8125,77.9375,110.0,-61.0,15.0
 1297148198545,2.2609777,7.43671,3.445948,9.8125,132.8125,77.9375,110.0,-61.0,15.0
 1297148198625,2.982856,6.6331096,2.7649305,10.5625,132.3125,79.1875,96.0,-58.0,23.0
 1297148198645,3.0237172,6.932757,2.5606253,11.0625,132.3125,79.1875,100.0,-60.0,22.0
 1297148198695,3.5276701,7.43671,2.1792557,11.3125,131.5625,80.1875,105.0,-61.0,24.0
 1297148198745,4.6036777,8.076866,1.7570249,11.0625,129.75,79.9375,105.0,-59.0,29.0
